# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	4.641984e+03	4.628738e+03
1.051025e-03	4.641984e+03	4.628738e+03
1.104654e-03	4.641984e+03	4.628738e+03
1.161020e-03	4.641984e+03	4.628738e+03
1.220261e-03	4.641984e+03	4.628738e+03
1.282526e-03	4.641984e+03	4.628738e+03
1.347967e-03	4.641984e+03	4.628738e+03
1.416748e-03	4.641984e+03	4.628738e+03
1.489038e-03	4.641984e+03	4.628738e+03
1.565017e-03	4.641984e+03	4.628738e+03
1.644872e-03	4.641984e+03	4.628738e+03
1.728802e-03	4.641984e+03	4.628738e+03
1.817015e-03	4.641984e+03	4.628738e+03
1.909729e-03	4.641984e+03	4.628738e+03
2.007174e-03	4.641984e+03	4.628738e+03
2.109591e-03	4.641984e+03	4.628738e+03
2.217234e-03	4.641984e+03	4.628738e+03
2.330369e-03	4.641984e+03	4.628738e+03
2.449277e-03	4.641984e+03	4.628738e+03
2.574252e-03	4.641984e+03	4.628738e+03
2.705605e-03	4.641984e+03	4.628738e+03
2.843659e-03	4.641984e+03	4.628738e+03
2.988758e-03	4.641984e+03	4.628738e+03
3.141261e-03	4.641984e+03	4.628738e+03
3.301545e-03	4.641984e+03	4.628738e+03
3.470007e-03	4.641984e+03	4.628738e+03
3.647066e-03	4.641984e+03	4.628738e+03
3.833159e-03	4.641984e+03	4.628738e+03
4.028748e-03	4.641984e+03	4.628738e+03
4.234316e-03	4.641984e+03	4.628738e+03
4.450374e-03	4.641984e+03	4.628738e+03
4.677456e-03	4.641984e+03	4.628738e+03
4.916125e-03	4.641984e+03	4.628738e+03
5.166972e-03	4.641984e+03	4.628738e+03
5.430619e-03	4.641984e+03	4.628738e+03
5.707719e-03	4.641984e+03	4.628738e+03
5.998957e-03	4.641984e+03	4.628738e+03
6.305057e-03	4.641984e+03	4.628738e+03
6.626775e-03	4.641984e+03	4.628738e+03
6.964909e-03	4.641984e+03	4.628738e+03
7.320296e-03	4.641984e+03	4.628738e+03
7.693817e-03	4.641984e+03	4.628738e+03
8.086397e-03	4.641984e+03	4.628738e+03
8.499009e-03	4.641984e+03	4.628738e+03
8.932674e-03	4.641984e+03	4.628738e+03
9.388468e-03	4.641984e+03	4.628738e+03
9.867518e-03	4.641984e+03	4.628738e+03
1.037101e-02	4.641984e+03	4.628738e+03
1.090020e-02	4.641984e+03	4.628738e+03
1.145638e-02	4.641984e+03	4.628738e+03
1.204095e-02	4.641984e+03	4.628738e+03
1.265535e-02	4.641984e+03	4.628738e+03
1.330109e-02	4.641984e+03	4.628738e+03
1.397978e-02	4.641984e+03	4.628738e+03
1.469311e-02	4.641984e+03	4.628738e+03
1.544283e-02	4.641984e+03	4.628738e+03
1.623081e-02	4.641984e+03	4.628738e+03
1.705899e-02	4.641984e+03	4.628738e+03
1.792943e-02	4.641984e+03	4.628738e+03
1.884429e-02	4.641984e+03	4.628738e+03
1.980583e-02	4.641984e+03	4.628738e+03
2.081643e-02	4.641984e+03	4.628738e+03
2.187859e-02	4.641984e+03	4.628738e+03
2.299496e-02	4.641984e+03	4.628738e+03
2.416828e-02	4.641984e+03	4.628738e+03
2.540148e-02	4.641984e+03	4.628738e+03
2.669760e-02	4.641984e+03	4.628738e+03
2.805986e-02	4.641984e+03	4.628738e+03
2.949162e-02	4.641984e+03	4.628738e+03
3.099645e-02	4.641984e+03	4.628738e+03
3.257805e-02	4.641984e+03	4.628738e+03
3.424036e-02	4.641984e+03	4.628738e+03
3.598749e-02	4.641984e+03	4.628738e+03
3.782377e-02	4.641984e+03	4.628738e+03
3.975374e-02	4.641984e+03	4.628738e+03
4.178219e-02	4.641984e+03	4.628738e+03
4.391414e-02	4.641984e+03	4.628738e+03
4.615488e-02	4.641984e+03	4.628738e+03
4.850995e-02	4.641984e+03	4.628738e+03
5.098519e-02	4.641984e+03	4.628738e+03
5.358673e-02	4.641984e+03	4.628738e+03
5.632102e-02	4.641984e+03	4.628738e+03
5.919482e-02	4.641984e+03	4.628738e+03
6.221526e-02	4.641984e+03	4.628738e+03
6.538982e-02	4.641984e+03	4.628738e+03
6.872636e-02	4.641984e+03	4.628738e+03
7.223315e-02	4.641984e+03	4.628738e+03
7.591888e-02	4.641984e+03	4.628738e+03
7.979267e-02	4.641984e+03	4.628738e+03
8.386413e-02	4.641984e+03	4.628738e+03
8.814333e-02	4.641984e+03	4.628738e+03
9.264088e-02	4.641984e+03	4.628738e+03
9.736792e-02	4.641984e+03	4.628738e+03
1.023362e-01	4.331599e+03	4.318354e+03
1.075579e-01	3.731639e+03	3.718395e+03
1.130461e-01	3.215033e+03	3.201790e+03
1.188143e-01	2.770200e+03	2.756959e+03
1.248769e-01	3.397874e+03	3.384634e+03
1.312487e-01	2.900334e+03	2.887094e+03
1.379458e-01	2.475464e+03	2.462226e+03
1.449845e-01	2.113119e+03	2.099881e+03
1.523824e-01	1.860755e+03	1.847518e+03
1.601578e-01	2.815805e+03	2.802570e+03
1.683299e-01	2.650527e+03	2.637294e+03
1.769190e-01	2.507826e+03	2.494596e+03
1.859464e-01	2.523970e+03	2.510742e+03
1.954344e-01	2.599574e+03	2.586347e+03
2.054065e-01	2.867799e+03	2.854575e+03
2.158874e-01	3.357853e+03	3.344633e+03
2.269032e-01	3.932037e+03	3.918821e+03
2.384810e-01	4.604795e+03	4.591583e+03
2.506496e-01	5.393030e+03	5.379821e+03
2.634391e-01	6.316162e+03	6.302958e+03
2.768812e-01	7.397698e+03	7.384497e+03
2.910091e-01	8.664818e+03	8.651621e+03
3.058580e-01	9.625157e+03	9.611966e+03
3.214645e-01	9.836279e+03	9.823093e+03
3.378674e-01	1.005204e+04	1.003886e+04
3.551072e-01	1.027267e+04	1.025950e+04
3.732267e-01	1.049849e+04	1.048533e+04
3.922708e-01	1.072929e+04	1.071613e+04
4.122865e-01	1.071282e+04	1.069967e+04
4.333236e-01	1.053703e+04	1.052390e+04
4.554341e-01	1.040365e+04	1.039053e+04
4.786728e-01	1.053953e+04	1.052642e+04
5.030973e-01	1.031924e+04	1.030614e+04
5.287681e-01	9.782489e+03	9.769408e+03
5.557487e-01	9.273582e+03	9.260518e+03
5.841060e-01	8.790784e+03	8.777738e+03
6.139102e-01	8.278256e+03	8.265231e+03
6.452353e-01	7.735530e+03	7.722530e+03
6.781586e-01	7.227823e+03	7.214850e+03
7.127620e-01	7.358622e+03	7.345675e+03
7.491309e-01	6.887504e+03	6.874585e+03
7.873557e-01	6.446599e+03	6.433706e+03
8.275308e-01	6.023642e+03	6.010786e+03
8.697559e-01	5.542390e+03	5.529575e+03
9.141356e-01	5.229201e+03	5.216427e+03
