# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	2.667666e+04	2.667547e+04
1.051025e-03	2.667666e+04	2.667547e+04
1.104654e-03	2.667666e+04	2.667547e+04
1.161020e-03	2.667666e+04	2.667547e+04
1.220261e-03	2.667666e+04	2.667547e+04
1.282526e-03	2.667666e+04	2.667547e+04
1.347967e-03	2.667666e+04	2.667547e+04
1.416748e-03	2.667666e+04	2.667547e+04
1.489038e-03	2.667666e+04	2.667547e+04
1.565017e-03	2.667666e+04	2.667547e+04
1.644872e-03	2.667666e+04	2.667547e+04
1.728802e-03	2.667666e+04	2.667547e+04
1.817015e-03	2.667666e+04	2.667547e+04
1.909729e-03	2.667666e+04	2.667547e+04
2.007174e-03	2.667666e+04	2.667547e+04
2.109591e-03	2.667666e+04	2.667547e+04
2.217234e-03	2.667666e+04	2.667547e+04
2.330369e-03	2.667666e+04	2.667547e+04
2.449277e-03	2.667666e+04	2.667547e+04
2.574252e-03	2.667666e+04	2.667547e+04
2.705605e-03	2.667666e+04	2.667547e+04
2.843659e-03	2.667666e+04	2.667547e+04
2.988758e-03	2.667666e+04	2.667547e+04
3.141261e-03	2.667666e+04	2.667547e+04
3.301545e-03	2.667666e+04	2.667547e+04
3.470007e-03	2.667666e+04	2.667547e+04
3.647066e-03	2.667666e+04	2.667547e+04
3.833159e-03	2.667666e+04	2.667547e+04
4.028748e-03	2.667666e+04	2.667547e+04
4.234316e-03	2.667666e+04	2.667547e+04
4.450374e-03	2.667666e+04	2.667547e+04
4.677456e-03	2.667666e+04	2.667547e+04
4.916125e-03	2.667666e+04	2.667547e+04
5.166972e-03	2.667666e+04	2.667547e+04
5.430619e-03	2.667666e+04	2.667547e+04
5.707719e-03	2.667666e+04	2.667547e+04
5.998957e-03	2.667666e+04	2.667547e+04
6.305057e-03	2.667666e+04	2.667547e+04
6.626775e-03	2.667666e+04	2.667547e+04
6.964909e-03	2.667666e+04	2.667547e+04
7.320296e-03	2.667666e+04	2.667547e+04
7.693817e-03	2.667666e+04	2.667547e+04
8.086397e-03	2.667666e+04	2.667547e+04
8.499009e-03	2.667666e+04	2.667547e+04
8.932674e-03	2.667666e+04	2.667547e+04
9.388468e-03	2.667666e+04	2.667547e+04
9.867518e-03	2.667666e+04	2.667547e+04
1.037101e-02	2.667666e+04	2.667547e+04
1.090020e-02	2.667666e+04	2.667547e+04
1.145638e-02	2.667666e+04	2.667547e+04
1.204095e-02	2.667666e+04	2.667547e+04
1.265535e-02	2.667666e+04	2.667547e+04
1.330109e-02	2.667666e+04	2.667547e+04
1.397978e-02	2.667666e+04	2.667547e+04
1.469311e-02	2.667666e+04	2.667547e+04
1.544283e-02	2.667666e+04	2.667547e+04
1.623081e-02	2.667666e+04	2.667547e+04
1.705899e-02	2.667666e+04	2.667547e+04
1.792943e-02	2.667666e+04	2.667547e+04
1.884429e-02	2.667666e+04	2.667547e+04
1.980583e-02	2.667666e+04	2.667547e+04
2.081643e-02	2.667666e+04	2.667547e+04
2.187859e-02	2.667666e+04	2.667547e+04
2.299496e-02	2.667666e+04	2.667547e+04
2.416828e-02	2.667666e+04	2.667547e+04
2.540148e-02	2.667666e+04	2.667547e+04
2.669760e-02	2.667666e+04	2.667547e+04
2.805986e-02	2.667666e+04	2.667547e+04
2.949162e-02	2.667666e+04	2.667547e+04
3.099645e-02	2.667666e+04	2.667547e+04
3.257805e-02	2.667666e+04	2.667547e+04
3.424036e-02	2.667666e+04	2.667547e+04
3.598749e-02	2.667666e+04	2.667547e+04
3.782377e-02	2.667666e+04	2.667547e+04
3.975374e-02	2.667666e+04	2.667547e+04
4.178219e-02	2.667666e+04	2.667547e+04
4.391414e-02	2.667666e+04	2.667547e+04
4.615488e-02	2.667666e+04	2.667547e+04
4.850995e-02	2.667666e+04	2.667547e+04
5.098519e-02	2.667666e+04	2.667547e+04
5.358673e-02	2.667666e+04	2.667547e+04
5.632102e-02	2.667666e+04	2.667547e+04
5.919482e-02	2.667666e+04	2.667547e+04
6.221526e-02	2.667666e+04	2.667547e+04
6.538982e-02	2.667666e+04	2.667547e+04
6.872636e-02	2.667666e+04	2.667547e+04
7.223315e-02	2.667666e+04	2.667547e+04
7.591888e-02	2.667666e+04	2.667547e+04
7.979267e-02	2.667666e+04	2.667547e+04
8.386413e-02	2.667666e+04	2.667547e+04
8.814333e-02	2.667666e+04	2.667547e+04
9.264088e-02	2.667666e+04	2.667547e+04
9.736792e-02	2.667666e+04	2.667547e+04
1.023362e-01	2.534314e+04	2.534194e+04
1.075579e-01	2.269160e+04	2.269040e+04
1.130461e-01	2.031749e+04	2.031629e+04
1.188143e-01	1.819178e+04	1.819058e+04
1.248769e-01	1.628849e+04	1.628729e+04
1.312487e-01	1.458462e+04	1.458342e+04
1.379458e-01	1.305900e+04	1.305780e+04
1.449845e-01	1.169298e+04	1.169178e+04
1.523824e-01	1.045730e+04	1.045611e+04
1.601578e-01	9.328006e+03	9.326811e+03
1.683299e-01	8.320679e+03	8.319484e+03
1.769190e-01	7.421888e+03	7.420694e+03
1.859464e-01	6.619377e+03	6.618183e+03
1.954344e-01	5.903654e+03	5.902460e+03
2.054065e-01	5.270018e+03	5.268825e+03
2.158874e-01	4.708028e+03	4.706836e+03
2.269032e-01	4.205982e+03	4.204790e+03
2.384810e-01	3.757485e+03	3.756294e+03
2.506496e-01	3.355715e+03	3.354525e+03
2.634391e-01	2.978943e+03	2.977754e+03
2.768812e-01	2.644489e+03	2.643300e+03
2.910091e-01	4.539493e+04	4.539374e+04
3.058580e-01	4.052971e+04	4.052852e+04
3.214645e-01	3.651517e+04	3.651398e+04
3.378674e-01	3.289829e+04	3.289711e+04
3.551072e-01	2.963961e+04	2.963843e+04
3.732267e-01	2.670359e+04	2.670241e+04
3.922708e-01	2.405842e+04	2.405724e+04
4.122865e-01	2.147690e+04	2.147572e+04
4.333236e-01	1.905909e+04	1.905791e+04
4.554341e-01	1.691298e+04	1.691180e+04
4.786728e-01	1.500713e+04	1.500595e+04
5.030973e-01	1.330280e+04	1.330163e+04
5.287681e-01	1.170941e+04	1.170825e+04
5.557487e-01	1.030740e+04	1.030624e+04
5.841060e-01	9.074959e+03	9.073800e+03
6.139102e-01	7.986834e+03	7.985679e+03
6.452353e-01	7.026042e+03	7.024893e+03
6.781586e-01	6.182599e+03	6.181455e+03
7.127620e-01	5.426950e+03	5.425811e+03
7.491309e-01	4.742589e+03	4.741456e+03
7.873557e-01	4.144546e+03	4.143418e+03
8.275308e-01	3.632373e+03	3.631252e+03
8.697559e-01	3.187826e+03	3.186713e+03
9.141356e-01	2.797699e+03	2.796594e+03
9.607797e-01	2.455331e+03	2.454234e+03
1.009804e+00	2.150879e+03	2.149790e+03
1.061330e+00	1.869843e+03	1.868766e+03
1.115484e+00	1.625346e+03	1.624280e+03
1.172402e+00	1.412518e+03	1.411465e+03
1.232225e+00	1.227175e+03	1.226134e+03
1.295099e+00	1.065711e+03	1.064684e+03
1.361182e+00	9.250173e+02	9.240035e+02
1.430637e+00	8.024056e+02	8.014067e+02
1.503636e+00	6.955506e+02	6.945676e+02
1.580360e+00	6.024557e+02	6.014900e+02
1.660998e+00	5.214373e+02	5.204899e+02
1.745751e+00	4.510132e+02	4.500852e+02
1.834829e+00	3.898670e+02	3.889593e+02
