# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	5.423586e+04	5.423056e+04
1.051025e-03	5.423586e+04	5.423056e+04
1.104654e-03	5.423586e+04	5.423056e+04
1.161020e-03	5.423586e+04	5.423056e+04
1.220261e-03	5.423586e+04	5.423056e+04
1.282526e-03	5.423586e+04	5.423056e+04
1.347967e-03	5.423586e+04	5.423056e+04
1.416748e-03	5.423586e+04	5.423056e+04
1.489038e-03	5.423586e+04	5.423056e+04
1.565017e-03	5.423586e+04	5.423056e+04
1.644872e-03	5.423586e+04	5.423056e+04
1.728802e-03	5.423586e+04	5.423056e+04
1.817015e-03	5.423586e+04	5.423056e+04
1.909729e-03	5.423586e+04	5.423056e+04
2.007174e-03	5.423586e+04	5.423056e+04
2.109591e-03	5.423586e+04	5.423056e+04
2.217234e-03	5.423586e+04	5.423056e+04
2.330369e-03	5.423586e+04	5.423056e+04
2.449277e-03	5.423586e+04	5.423056e+04
2.574252e-03	5.423586e+04	5.423056e+04
2.705605e-03	5.423586e+04	5.423056e+04
2.843659e-03	5.423586e+04	5.423056e+04
2.988758e-03	5.423586e+04	5.423056e+04
3.141261e-03	5.423586e+04	5.423056e+04
3.301545e-03	5.423586e+04	5.423056e+04
3.470007e-03	5.423586e+04	5.423056e+04
3.647066e-03	5.423586e+04	5.423056e+04
3.833159e-03	5.423586e+04	5.423056e+04
4.028748e-03	5.423586e+04	5.423056e+04
4.234316e-03	5.423586e+04	5.423056e+04
4.450374e-03	5.423586e+04	5.423056e+04
4.677456e-03	5.423586e+04	5.423056e+04
4.916125e-03	5.423586e+04	5.423056e+04
5.166972e-03	5.423586e+04	5.423056e+04
5.430619e-03	5.423586e+04	5.423056e+04
5.707719e-03	5.423586e+04	5.423056e+04
5.998957e-03	5.423586e+04	5.423056e+04
6.305057e-03	5.423586e+04	5.423056e+04
6.626775e-03	5.423586e+04	5.423056e+04
6.964909e-03	5.423586e+04	5.423056e+04
7.320296e-03	5.423586e+04	5.423056e+04
7.693817e-03	5.423586e+04	5.423056e+04
8.086397e-03	5.423586e+04	5.423056e+04
8.499009e-03	5.423586e+04	5.423056e+04
8.932674e-03	5.423586e+04	5.423056e+04
9.388468e-03	5.423586e+04	5.423056e+04
9.867518e-03	5.423586e+04	5.423056e+04
1.037101e-02	5.423586e+04	5.423056e+04
1.090020e-02	5.423586e+04	5.423056e+04
1.145638e-02	5.423586e+04	5.423056e+04
1.204095e-02	5.423586e+04	5.423056e+04
1.265535e-02	5.423586e+04	5.423056e+04
1.330109e-02	5.423586e+04	5.423056e+04
1.397978e-02	5.423586e+04	5.423056e+04
1.469311e-02	5.423586e+04	5.423056e+04
1.544283e-02	5.423586e+04	5.423056e+04
1.623081e-02	5.423586e+04	5.423056e+04
1.705899e-02	5.423586e+04	5.423056e+04
1.792943e-02	5.423586e+04	5.423056e+04
1.884429e-02	5.423586e+04	5.423056e+04
1.980583e-02	5.423586e+04	5.423056e+04
2.081643e-02	5.423586e+04	5.423056e+04
2.187859e-02	5.423586e+04	5.423056e+04
2.299496e-02	5.423586e+04	5.423056e+04
2.416828e-02	5.423586e+04	5.423056e+04
2.540148e-02	5.423586e+04	5.423056e+04
2.669760e-02	5.423586e+04	5.423056e+04
2.805986e-02	5.423586e+04	5.423056e+04
2.949162e-02	5.423586e+04	5.423056e+04
3.099645e-02	5.423586e+04	5.423056e+04
3.257805e-02	5.423586e+04	5.423056e+04
3.424036e-02	5.423586e+04	5.423056e+04
3.598749e-02	5.423586e+04	5.423056e+04
3.782377e-02	5.423586e+04	5.423056e+04
3.975374e-02	5.423586e+04	5.423056e+04
4.178219e-02	5.423586e+04	5.423056e+04
4.391414e-02	5.423586e+04	5.423056e+04
4.615488e-02	5.423586e+04	5.423056e+04
4.850995e-02	5.423586e+04	5.423056e+04
5.098519e-02	5.423586e+04	5.423056e+04
5.358673e-02	5.423586e+04	5.423056e+04
5.632102e-02	5.423586e+04	5.423056e+04
5.919482e-02	5.423586e+04	5.423056e+04
6.221526e-02	5.423586e+04	5.423056e+04
6.538982e-02	5.423586e+04	5.423056e+04
6.872636e-02	5.423586e+04	5.423056e+04
7.223315e-02	5.423586e+04	5.423056e+04
7.591888e-02	5.423586e+04	5.423056e+04
7.979267e-02	5.423586e+04	5.423056e+04
8.386413e-02	5.423586e+04	5.423056e+04
8.814333e-02	5.423586e+04	5.423056e+04
9.264088e-02	5.423586e+04	5.423056e+04
9.736792e-02	5.423586e+04	5.423056e+04
1.023362e-01	5.298424e+04	5.297894e+04
1.075579e-01	5.038428e+04	5.037898e+04
1.130461e-01	4.791191e+04	4.790661e+04
1.188143e-01	4.556088e+04	4.555558e+04
1.248769e-01	4.512127e+04	4.511597e+04
1.312487e-01	4.366410e+04	4.365880e+04
1.379458e-01	4.226882e+04	4.226352e+04
1.449845e-01	4.091813e+04	4.091283e+04
