# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	8.605307e+04	8.605136e+04
1.051025e-03	8.605307e+04	8.605136e+04
1.104654e-03	8.605307e+04	8.605136e+04
1.161020e-03	8.605307e+04	8.605136e+04
1.220261e-03	8.605307e+04	8.605136e+04
1.282526e-03	8.605307e+04	8.605136e+04
1.347967e-03	8.605307e+04	8.605136e+04
1.416748e-03	8.605307e+04	8.605136e+04
1.489038e-03	8.605307e+04	8.605136e+04
1.565017e-03	8.605307e+04	8.605136e+04
1.644872e-03	8.605307e+04	8.605136e+04
1.728802e-03	8.605307e+04	8.605136e+04
1.817015e-03	8.605307e+04	8.605136e+04
1.909729e-03	8.605307e+04	8.605136e+04
2.007174e-03	8.605307e+04	8.605136e+04
2.109591e-03	8.605307e+04	8.605136e+04
2.217234e-03	8.605307e+04	8.605136e+04
2.330369e-03	8.605307e+04	8.605136e+04
2.449277e-03	8.605307e+04	8.605136e+04
2.574252e-03	8.605307e+04	8.605136e+04
2.705605e-03	8.605307e+04	8.605136e+04
2.843659e-03	8.605307e+04	8.605136e+04
2.988758e-03	8.605307e+04	8.605136e+04
3.141261e-03	8.605307e+04	8.605136e+04
3.301545e-03	8.605307e+04	8.605136e+04
3.470007e-03	8.605307e+04	8.605136e+04
3.647066e-03	8.605307e+04	8.605136e+04
3.833159e-03	8.605307e+04	8.605136e+04
4.028748e-03	8.605307e+04	8.605136e+04
4.234316e-03	8.605307e+04	8.605136e+04
4.450374e-03	8.605307e+04	8.605136e+04
4.677456e-03	8.605307e+04	8.605136e+04
4.916125e-03	8.605307e+04	8.605136e+04
5.166972e-03	8.605307e+04	8.605136e+04
5.430619e-03	8.605307e+04	8.605136e+04
5.707719e-03	8.605307e+04	8.605136e+04
5.998957e-03	8.605307e+04	8.605136e+04
6.305057e-03	8.605307e+04	8.605136e+04
6.626775e-03	8.605307e+04	8.605136e+04
6.964909e-03	8.605307e+04	8.605136e+04
7.320296e-03	8.605307e+04	8.605136e+04
7.693817e-03	8.605307e+04	8.605136e+04
8.086397e-03	8.605307e+04	8.605136e+04
8.499009e-03	8.605307e+04	8.605136e+04
8.932674e-03	8.605307e+04	8.605136e+04
9.388468e-03	8.605307e+04	8.605136e+04
9.867518e-03	8.605307e+04	8.605136e+04
1.037101e-02	8.605307e+04	8.605136e+04
1.090020e-02	8.605307e+04	8.605136e+04
1.145638e-02	8.605307e+04	8.605136e+04
1.204095e-02	8.605307e+04	8.605136e+04
1.265535e-02	8.605307e+04	8.605136e+04
1.330109e-02	8.605307e+04	8.605136e+04
1.397978e-02	8.605307e+04	8.605136e+04
1.469311e-02	8.605307e+04	8.605136e+04
1.544283e-02	8.605307e+04	8.605136e+04
1.623081e-02	8.605307e+04	8.605136e+04
1.705899e-02	8.605307e+04	8.605136e+04
1.792943e-02	8.605307e+04	8.605136e+04
1.884429e-02	8.605307e+04	8.605136e+04
1.980583e-02	8.605307e+04	8.605136e+04
2.081643e-02	8.605307e+04	8.605136e+04
2.187859e-02	8.605307e+04	8.605136e+04
2.299496e-02	8.605307e+04	8.605136e+04
2.416828e-02	8.605307e+04	8.605136e+04
2.540148e-02	8.605307e+04	8.605136e+04
2.669760e-02	8.605307e+04	8.605136e+04
2.805986e-02	8.605307e+04	8.605136e+04
2.949162e-02	8.605307e+04	8.605136e+04
3.099645e-02	8.605307e+04	8.605136e+04
3.257805e-02	8.605307e+04	8.605136e+04
3.424036e-02	8.605307e+04	8.605136e+04
3.598749e-02	8.605307e+04	8.605136e+04
3.782377e-02	8.605307e+04	8.605136e+04
3.975374e-02	8.605307e+04	8.605136e+04
4.178219e-02	8.605307e+04	8.605136e+04
4.391414e-02	8.605307e+04	8.605136e+04
4.615488e-02	8.605307e+04	8.605136e+04
4.850995e-02	8.605307e+04	8.605136e+04
5.098519e-02	8.605307e+04	8.605136e+04
5.358673e-02	8.605307e+04	8.605136e+04
5.632102e-02	8.605307e+04	8.605136e+04
5.919482e-02	8.605307e+04	8.605136e+04
6.221526e-02	8.605307e+04	8.605136e+04
6.538982e-02	8.605307e+04	8.605136e+04
6.872636e-02	8.605307e+04	8.605136e+04
7.223315e-02	8.605307e+04	8.605136e+04
7.591888e-02	8.605307e+04	8.605136e+04
7.979267e-02	8.605307e+04	8.605136e+04
8.386413e-02	8.605307e+04	8.605136e+04
8.814333e-02	8.605307e+04	8.605136e+04
9.264088e-02	8.605307e+04	8.605136e+04
9.736792e-02	8.605307e+04	8.605136e+04
1.023362e-01	8.187694e+04	8.187523e+04
1.075579e-01	7.355332e+04	7.355161e+04
1.130461e-01	6.607590e+04	6.607419e+04
1.188143e-01	5.935865e+04	5.935694e+04
1.248769e-01	5.332429e+04	5.332258e+04
1.312487e-01	4.790577e+04	4.790406e+04
1.379458e-01	4.303791e+04	4.303620e+04
1.449845e-01	3.866470e+04	3.866300e+04
1.523824e-01	3.465832e+04	3.465661e+04
1.601578e-01	3.091748e+04	3.091578e+04
1.683299e-01	2.758043e+04	2.757873e+04
1.769190e-01	2.460351e+04	2.460181e+04
1.859464e-01	2.194770e+04	2.194599e+04
1.954344e-01	1.957858e+04	1.957687e+04
2.054065e-01	1.741370e+04	1.741200e+04
2.158874e-01	1.544866e+04	1.544695e+04
2.269032e-01	1.370538e+04	1.370367e+04
2.384810e-01	1.215884e+04	1.215714e+04
2.506496e-01	1.078681e+04	1.078511e+04
2.634391e-01	9.569309e+03	9.567607e+03
2.768812e-01	8.489245e+03	8.487543e+03
2.910091e-01	7.531106e+03	7.529406e+03
3.058580e-01	6.672417e+03	6.670717e+03
3.214645e-01	5.899534e+03	5.897835e+03
3.378674e-01	5.216198e+03	5.214500e+03
3.551072e-01	4.612289e+03	4.610592e+03
3.732267e-01	4.078867e+03	4.077171e+03
3.922708e-01	3.607159e+03	3.605464e+03
4.122865e-01	3.185109e+03	3.183415e+03
4.333236e-01	2.809667e+03	2.807975e+03
4.554341e-01	2.478530e+03	2.476840e+03
4.786728e-01	2.186519e+03	2.184831e+03
5.030973e-01	1.928402e+03	1.926716e+03
5.287681e-01	1.697469e+03	1.695785e+03
5.557487e-01	1.494210e+03	1.492528e+03
5.841060e-01	1.315299e+03	1.313620e+03
6.139102e-01	1.157638e+03	1.155962e+03
6.452353e-01	1.018695e+03	1.017023e+03
6.781586e-01	9.411828e+02	9.395147e+02
7.127620e-01	1.206149e+04	1.205982e+04
7.491309e-01	1.096988e+04	1.096822e+04
7.873557e-01	9.977081e+03	9.975425e+03
8.275308e-01	8.920121e+03	8.918471e+03
8.697559e-01	7.911133e+03	7.909489e+03
9.141356e-01	7.016296e+03	7.014658e+03
9.607797e-01	6.222694e+03	6.221062e+03
1.009804e+00	5.511275e+03	5.509650e+03
1.061330e+00	4.853472e+03	4.851857e+03
1.115484e+00	4.273390e+03	4.271784e+03
1.172402e+00	3.761344e+03	3.759748e+03
1.232225e+00	3.308990e+03	3.307405e+03
1.295099e+00	2.909116e+03	2.907542e+03
1.361182e+00	2.555471e+03	2.553909e+03
1.430637e+00	2.242625e+03	2.241076e+03
1.503636e+00	1.965846e+03	1.964312e+03
1.580360e+00	1.721093e+03	1.719574e+03
1.660998e+00	1.505060e+03	1.503559e+03
1.745751e+00	1.314769e+03	1.313285e+03
1.834829e+00	1.147469e+03	1.146006e+03
1.928452e+00	1.000645e+03	9.992031e+02
2.026852e+00	8.720014e+02	8.705822e+02
2.130273e+00	7.594302e+02	7.580353e+02
2.238971e+00	6.609933e+02	6.596240e+02
2.353216e+00	5.749728e+02	5.736307e+02
2.473289e+00	4.998520e+02	4.985384e+02
2.599490e+00	4.342924e+02	4.330088e+02
2.732130e+00	3.771140e+02	3.758617e+02
2.871538e+00	3.272772e+02	3.260575e+02
3.018059e+00	2.838667e+02	2.826808e+02
3.172057e+00	2.460774e+02	2.449264e+02
3.333913e+00	2.132032e+02	2.120880e+02
3.504027e+00	1.846229e+02	1.835444e+02
3.682821e+00	1.597914e+02	1.587501e+02
3.870739e+00	1.382302e+02	1.372264e+02
4.068245e+00	1.195199e+02	1.185539e+02
