# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	1.136274e+04	1.136234e+04
1.051025e-03	1.136274e+04	1.136234e+04
1.104654e-03	1.136274e+04	1.136234e+04
1.161020e-03	1.136274e+04	1.136234e+04
1.220261e-03	1.136274e+04	1.136234e+04
1.282526e-03	1.136274e+04	1.136234e+04
1.347967e-03	1.136274e+04	1.136234e+04
1.416748e-03	1.136274e+04	1.136234e+04
1.489038e-03	1.136274e+04	1.136234e+04
1.565017e-03	1.136274e+04	1.136234e+04
1.644872e-03	1.136274e+04	1.136234e+04
1.728802e-03	1.136274e+04	1.136234e+04
1.817015e-03	1.136274e+04	1.136234e+04
1.909729e-03	1.136274e+04	1.136234e+04
2.007174e-03	1.136274e+04	1.136234e+04
2.109591e-03	1.136274e+04	1.136234e+04
2.217234e-03	1.136274e+04	1.136234e+04
2.330369e-03	1.136274e+04	1.136234e+04
2.449277e-03	1.136274e+04	1.136234e+04
2.574252e-03	1.136274e+04	1.136234e+04
2.705605e-03	1.136274e+04	1.136234e+04
2.843659e-03	1.136274e+04	1.136234e+04
2.988758e-03	1.136274e+04	1.136234e+04
3.141261e-03	1.136274e+04	1.136234e+04
3.301545e-03	1.136274e+04	1.136234e+04
3.470007e-03	1.136274e+04	1.136234e+04
3.647066e-03	1.136274e+04	1.136234e+04
3.833159e-03	1.136274e+04	1.136234e+04
4.028748e-03	1.136274e+04	1.136234e+04
4.234316e-03	1.136274e+04	1.136234e+04
4.450374e-03	1.136274e+04	1.136234e+04
4.677456e-03	1.136274e+04	1.136234e+04
4.916125e-03	1.136274e+04	1.136234e+04
5.166972e-03	1.136274e+04	1.136234e+04
5.430619e-03	1.136274e+04	1.136234e+04
5.707719e-03	1.136274e+04	1.136234e+04
5.998957e-03	1.136274e+04	1.136234e+04
6.305057e-03	1.136274e+04	1.136234e+04
6.626775e-03	1.136274e+04	1.136234e+04
6.964909e-03	1.136274e+04	1.136234e+04
7.320296e-03	1.136274e+04	1.136234e+04
7.693817e-03	1.136274e+04	1.136234e+04
8.086397e-03	1.136274e+04	1.136234e+04
8.499009e-03	1.136274e+04	1.136234e+04
8.932674e-03	1.136274e+04	1.136234e+04
9.388468e-03	1.136274e+04	1.136234e+04
9.867518e-03	1.136274e+04	1.136234e+04
1.037101e-02	1.136274e+04	1.136234e+04
1.090020e-02	1.136274e+04	1.136234e+04
1.145638e-02	1.136274e+04	1.136234e+04
1.204095e-02	1.136274e+04	1.136234e+04
1.265535e-02	1.136274e+04	1.136234e+04
1.330109e-02	1.136274e+04	1.136234e+04
1.397978e-02	1.136274e+04	1.136234e+04
1.469311e-02	1.136274e+04	1.136234e+04
1.544283e-02	1.136274e+04	1.136234e+04
1.623081e-02	1.136274e+04	1.136234e+04
1.705899e-02	1.136274e+04	1.136234e+04
1.792943e-02	1.136274e+04	1.136234e+04
1.884429e-02	1.136274e+04	1.136234e+04
1.980583e-02	1.136274e+04	1.136234e+04
2.081643e-02	1.136274e+04	1.136234e+04
2.187859e-02	1.136274e+04	1.136234e+04
2.299496e-02	1.136274e+04	1.136234e+04
2.416828e-02	1.136274e+04	1.136234e+04
2.540148e-02	1.136274e+04	1.136234e+04
2.669760e-02	1.136274e+04	1.136234e+04
2.805986e-02	1.136274e+04	1.136234e+04
2.949162e-02	1.136274e+04	1.136234e+04
3.099645e-02	1.136274e+04	1.136234e+04
3.257805e-02	1.136274e+04	1.136234e+04
3.424036e-02	1.136274e+04	1.136234e+04
3.598749e-02	1.136274e+04	1.136234e+04
3.782377e-02	1.136274e+04	1.136234e+04
3.975374e-02	1.136274e+04	1.136234e+04
4.178219e-02	1.136274e+04	1.136234e+04
4.391414e-02	1.136274e+04	1.136234e+04
4.615488e-02	1.136274e+04	1.136234e+04
4.850995e-02	1.136274e+04	1.136234e+04
5.098519e-02	1.136274e+04	1.136234e+04
5.358673e-02	1.136274e+04	1.136234e+04
5.632102e-02	1.136274e+04	1.136234e+04
5.919482e-02	1.136274e+04	1.136234e+04
6.221526e-02	1.136274e+04	1.136234e+04
6.538982e-02	1.136274e+04	1.136234e+04
6.872636e-02	1.136274e+04	1.136234e+04
7.223315e-02	1.136274e+04	1.136234e+04
7.591888e-02	1.136274e+04	1.136234e+04
7.979267e-02	1.136274e+04	1.136234e+04
8.386413e-02	1.136274e+04	1.136234e+04
8.814333e-02	1.136274e+04	1.136234e+04
9.264088e-02	1.136274e+04	1.136234e+04
9.736792e-02	1.136274e+04	1.136234e+04
1.023362e-01	1.057757e+04	1.057717e+04
1.075579e-01	9.065059e+03	9.064661e+03
1.130461e-01	7.768833e+03	7.768435e+03
1.188143e-01	6.657964e+03	6.657567e+03
1.248769e-01	5.705948e+03	5.705550e+03
1.312487e-01	4.880639e+03	4.880242e+03
1.379458e-01	4.174550e+03	4.174152e+03
1.449845e-01	3.570619e+03	3.570222e+03
1.523824e-01	3.054659e+03	3.054262e+03
1.601578e-01	2.614357e+03	2.613960e+03
1.683299e-01	2.237529e+03	2.237131e+03
1.769190e-01	1.913887e+03	1.913489e+03
1.859464e-01	1.633601e+03	1.633203e+03
1.954344e-01	1.394371e+03	1.393973e+03
2.054065e-01	1.188671e+03	1.188273e+03
2.158874e-01	1.012210e+03	1.011812e+03
2.269032e-01	8.619538e+02	8.615564e+02
2.384810e-01	7.340110e+02	7.336137e+02
2.506496e-01	6.252201e+02	6.248228e+02
2.634391e-01	5.349221e+02	5.345248e+02
2.768812e-01	4.576737e+02	4.572764e+02
2.910091e-01	3.915892e+02	3.911918e+02
3.058580e-01	3.339783e+02	3.335809e+02
3.214645e-01	2.834132e+02	2.830159e+02
3.378674e-01	2.405130e+02	2.401158e+02
3.551072e-01	2.039699e+02	2.035727e+02
3.732267e-01	1.726877e+02	1.722904e+02
3.922708e-01	1.462125e+02	1.458151e+02
4.122865e-01	1.247460e+02	1.243487e+02
4.333236e-01	1.069599e+02	1.065627e+02
4.554341e-01	9.143508e+01	9.103793e+01
4.786728e-01	7.741696e+01	7.701971e+01
5.030973e-01	6.551425e+01	6.511685e+01
5.287681e-01	5.519348e+01	5.479630e+01
5.557487e-01	4.664008e+01	4.624297e+01
5.841060e-01	3.984505e+01	3.944782e+01
6.139102e-01	3.430314e+01	3.390605e+01
6.452353e-01	2.979814e+01	2.940154e+01
6.781586e-01	2.542838e+01	2.503203e+01
7.127620e-01	2.151450e+01	2.111818e+01
7.491309e-01	1.802782e+01	1.763128e+01
7.873557e-01	1.511714e+01	1.472011e+01
8.275308e-01	1.286887e+01	1.247209e+01
8.697559e-01	1.103733e+01	1.064098e+01
9.141356e-01	9.474992e+00	9.078697e+00
9.607797e-01	8.142404e+00	7.745788e+00
1.009804e+00	6.995553e+00	6.598578e+00
1.061330e+00	5.982628e+00	5.586436e+00
1.115484e+00	5.125165e+00	4.729404e+00
1.172402e+00	4.399241e+00	4.003634e+00
1.232225e+00	3.784625e+00	3.388971e+00
1.295099e+00	3.264207e+00	2.868375e+00
1.361182e+00	2.823506e+00	2.427438e+00
1.430637e+00	2.450261e+00	2.053967e+00
1.503636e+00	2.134088e+00	1.737645e+00
1.580360e+00	1.866213e+00	1.469750e+00
1.660998e+00	1.639286e+00	1.242914e+00
1.745751e+00	1.447086e+00	1.050889e+00
1.834829e+00	1.284333e+00	8.883704e-01
1.928452e+00	1.146546e+00	7.508538e-01
2.026852e+00	1.029920e+00	6.345184e-01
2.130273e+00	9.312303e-01	5.361237e-01
2.238971e+00	8.477445e-01	4.529209e-01
2.353216e+00	7.771422e-01	3.825799e-01
2.473289e+00	7.174510e-01	3.231246e-01
2.599490e+00	6.669932e-01	2.728801e-01
2.732130e+00	6.243398e-01	2.304269e-01
2.871538e+00	5.882722e-01	1.945628e-01
3.018059e+00	5.577493e-01	1.642697e-01
3.172057e+00	5.318917e-01	1.386844e-01
3.333913e+00	5.099816e-01	1.170748e-01
3.504027e+00	4.914137e-01	9.882228e-02
3.682821e+00	4.756732e-01	8.340509e-02
3.870739e+00	4.623215e-01	7.038285e-02
4.068245e+00	4.509839e-01	5.938376e-02
4.275829e+00	4.413431e-01	5.009475e-02
4.494005e+00	4.331336e-01	4.225227e-02
4.723313e+00	4.261317e-01	3.563284e-02
4.964322e+00	4.201495e-01	3.004711e-02
5.217629e+00	4.150289e-01	2.533493e-02
5.483860e+00	4.106344e-01	2.136126e-02
5.763676e+00	4.068507e-01	1.801177e-02
6.057770e+00	4.035818e-01	1.518940e-02
