# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	1.438226e+04	1.437060e+04
1.051025e-03	1.438226e+04	1.437060e+04
1.104654e-03	1.438226e+04	1.437060e+04
1.161020e-03	1.438226e+04	1.437060e+04
1.220261e-03	1.438226e+04	1.437060e+04
1.282526e-03	1.438226e+04	1.437060e+04
1.347967e-03	1.438226e+04	1.437060e+04
1.416748e-03	1.438226e+04	1.437060e+04
1.489038e-03	1.438226e+04	1.437060e+04
1.565017e-03	1.438226e+04	1.437060e+04
1.644872e-03	1.438226e+04	1.437060e+04
1.728802e-03	1.438226e+04	1.437060e+04
1.817015e-03	1.438226e+04	1.437060e+04
1.909729e-03	1.438226e+04	1.437060e+04
2.007174e-03	1.438226e+04	1.437060e+04
2.109591e-03	1.438226e+04	1.437060e+04
2.217234e-03	1.438226e+04	1.437060e+04
2.330369e-03	1.438226e+04	1.437060e+04
2.449277e-03	1.438226e+04	1.437060e+04
2.574252e-03	1.438226e+04	1.437060e+04
2.705605e-03	1.438226e+04	1.437060e+04
2.843659e-03	1.438226e+04	1.437060e+04
2.988758e-03	1.438226e+04	1.437060e+04
3.141261e-03	1.438226e+04	1.437060e+04
3.301545e-03	1.438226e+04	1.437060e+04
3.470007e-03	1.438226e+04	1.437060e+04
3.647066e-03	1.438226e+04	1.437060e+04
3.833159e-03	1.438226e+04	1.437060e+04
4.028748e-03	1.438226e+04	1.437060e+04
4.234316e-03	1.438226e+04	1.437060e+04
4.450374e-03	1.438226e+04	1.437060e+04
4.677456e-03	1.438226e+04	1.437060e+04
4.916125e-03	1.438226e+04	1.437060e+04
5.166972e-03	1.438226e+04	1.437060e+04
5.430619e-03	1.438226e+04	1.437060e+04
5.707719e-03	1.438226e+04	1.437060e+04
5.998957e-03	1.438226e+04	1.437060e+04
6.305057e-03	1.438226e+04	1.437060e+04
6.626775e-03	1.438226e+04	1.437060e+04
6.964909e-03	1.438226e+04	1.437060e+04
7.320296e-03	1.438226e+04	1.437060e+04
7.693817e-03	1.438226e+04	1.437060e+04
8.086397e-03	1.438226e+04	1.437060e+04
8.499009e-03	1.438226e+04	1.437060e+04
8.932674e-03	1.438226e+04	1.437060e+04
9.388468e-03	1.438226e+04	1.437060e+04
9.867518e-03	1.438226e+04	1.437060e+04
1.037101e-02	1.438226e+04	1.437060e+04
1.090020e-02	1.438226e+04	1.437060e+04
1.145638e-02	1.438226e+04	1.437060e+04
1.204095e-02	1.438226e+04	1.437060e+04
1.265535e-02	1.438226e+04	1.437060e+04
1.330109e-02	1.438226e+04	1.437060e+04
1.397978e-02	1.438226e+04	1.437060e+04
1.469311e-02	1.438226e+04	1.437060e+04
1.544283e-02	1.438226e+04	1.437060e+04
1.623081e-02	1.438226e+04	1.437060e+04
1.705899e-02	1.438226e+04	1.437060e+04
1.792943e-02	1.438226e+04	1.437060e+04
1.884429e-02	1.438226e+04	1.437060e+04
1.980583e-02	1.438226e+04	1.437060e+04
2.081643e-02	1.438226e+04	1.437060e+04
2.187859e-02	1.438226e+04	1.437060e+04
2.299496e-02	1.438226e+04	1.437060e+04
2.416828e-02	1.438226e+04	1.437060e+04
2.540148e-02	1.438226e+04	1.437060e+04
2.669760e-02	1.438226e+04	1.437060e+04
2.805986e-02	1.438226e+04	1.437060e+04
2.949162e-02	1.438226e+04	1.437060e+04
3.099645e-02	1.438226e+04	1.437060e+04
3.257805e-02	1.438226e+04	1.437060e+04
3.424036e-02	1.438226e+04	1.437060e+04
3.598749e-02	1.438226e+04	1.437060e+04
3.782377e-02	1.438226e+04	1.437060e+04
3.975374e-02	1.438226e+04	1.437060e+04
4.178219e-02	1.438226e+04	1.437060e+04
4.391414e-02	1.438226e+04	1.437060e+04
4.615488e-02	1.438226e+04	1.437060e+04
4.850995e-02	1.438226e+04	1.437060e+04
5.098519e-02	1.438226e+04	1.437060e+04
5.358673e-02	1.438226e+04	1.437060e+04
5.632102e-02	1.438226e+04	1.437060e+04
5.919482e-02	1.438226e+04	1.437060e+04
6.221526e-02	1.438226e+04	1.437060e+04
6.538982e-02	1.438226e+04	1.437060e+04
6.872636e-02	1.438226e+04	1.437060e+04
7.223315e-02	1.438226e+04	1.437060e+04
7.591888e-02	1.438226e+04	1.437060e+04
7.979267e-02	1.438226e+04	1.437060e+04
8.386413e-02	1.438226e+04	1.437060e+04
8.814333e-02	1.438226e+04	1.437060e+04
9.264088e-02	1.438226e+04	1.437060e+04
9.736792e-02	1.438226e+04	1.437060e+04
1.023362e-01	1.451723e+04	1.450558e+04
1.075579e-01	1.481242e+04	1.480077e+04
1.130461e-01	1.511362e+04	1.510197e+04
1.188143e-01	1.542095e+04	1.540930e+04
1.248769e-01	1.573453e+04	1.572288e+04
1.312487e-01	1.605497e+04	1.604332e+04
1.379458e-01	1.638195e+04	1.637030e+04
1.449845e-01	1.671559e+04	1.670395e+04
1.523824e-01	1.690943e+04	1.689778e+04
1.601578e-01	1.678962e+04	1.677797e+04
1.683299e-01	1.667065e+04	1.665901e+04
1.769190e-01	1.655269e+04	1.654105e+04
1.859464e-01	1.643609e+04	1.642445e+04
1.954344e-01	1.632032e+04	1.630868e+04
2.054065e-01	1.596998e+04	1.595835e+04
2.158874e-01	1.610782e+04	1.609620e+04
2.269032e-01	1.603010e+04	1.601847e+04
2.384810e-01	1.548849e+04	1.547687e+04
2.506496e-01	1.495854e+04	1.494692e+04
2.634391e-01	1.433034e+04	1.431873e+04
2.768812e-01	1.372855e+04	1.371694e+04
2.910091e-01	1.315205e+04	1.314044e+04
3.058580e-01	1.256851e+04	1.255690e+04
3.214645e-01	1.196402e+04	1.195242e+04
3.378674e-01	1.138863e+04	1.137704e+04
3.551072e-01	1.083331e+04	1.082173e+04
3.732267e-01	1.028747e+04	1.027590e+04
3.922708e-01	1.061511e+04	1.060354e+04
4.122865e-01	1.008031e+04	1.006876e+04
