# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	1.194336e+05	1.194317e+05
1.051025e-03	1.194336e+05	1.194317e+05
1.104654e-03	1.194336e+05	1.194317e+05
1.161020e-03	1.194336e+05	1.194317e+05
1.220261e-03	1.194336e+05	1.194317e+05
1.282526e-03	1.194336e+05	1.194317e+05
1.347967e-03	1.194336e+05	1.194317e+05
1.416748e-03	1.194336e+05	1.194317e+05
1.489038e-03	1.194336e+05	1.194317e+05
1.565017e-03	1.194336e+05	1.194317e+05
1.644872e-03	1.194336e+05	1.194317e+05
1.728802e-03	1.194336e+05	1.194317e+05
1.817015e-03	1.194336e+05	1.194317e+05
1.909729e-03	1.194336e+05	1.194317e+05
2.007174e-03	1.194336e+05	1.194317e+05
2.109591e-03	1.194336e+05	1.194317e+05
2.217234e-03	1.194336e+05	1.194317e+05
2.330369e-03	1.194336e+05	1.194317e+05
2.449277e-03	1.194336e+05	1.194317e+05
2.574252e-03	1.194336e+05	1.194317e+05
2.705605e-03	1.194336e+05	1.194317e+05
2.843659e-03	1.194336e+05	1.194317e+05
2.988758e-03	1.194336e+05	1.194317e+05
3.141261e-03	1.194336e+05	1.194317e+05
3.301545e-03	1.194336e+05	1.194317e+05
3.470007e-03	1.194336e+05	1.194317e+05
3.647066e-03	1.194336e+05	1.194317e+05
3.833159e-03	1.194336e+05	1.194317e+05
4.028748e-03	1.194336e+05	1.194317e+05
4.234316e-03	1.194336e+05	1.194317e+05
4.450374e-03	1.194336e+05	1.194317e+05
4.677456e-03	1.194336e+05	1.194317e+05
4.916125e-03	1.194336e+05	1.194317e+05
5.166972e-03	1.194336e+05	1.194317e+05
5.430619e-03	1.194336e+05	1.194317e+05
5.707719e-03	1.194336e+05	1.194317e+05
5.998957e-03	1.194336e+05	1.194317e+05
6.305057e-03	1.194336e+05	1.194317e+05
6.626775e-03	1.194336e+05	1.194317e+05
6.964909e-03	1.194336e+05	1.194317e+05
7.320296e-03	1.194336e+05	1.194317e+05
7.693817e-03	1.194336e+05	1.194317e+05
8.086397e-03	1.194336e+05	1.194317e+05
8.499009e-03	1.194336e+05	1.194317e+05
8.932674e-03	1.194336e+05	1.194317e+05
9.388468e-03	1.194336e+05	1.194317e+05
9.867518e-03	1.194336e+05	1.194317e+05
1.037101e-02	1.194336e+05	1.194317e+05
1.090020e-02	1.194336e+05	1.194317e+05
1.145638e-02	1.194336e+05	1.194317e+05
1.204095e-02	1.194336e+05	1.194317e+05
1.265535e-02	1.194336e+05	1.194317e+05
1.330109e-02	1.194336e+05	1.194317e+05
1.397978e-02	1.194336e+05	1.194317e+05
1.469311e-02	1.194336e+05	1.194317e+05
1.544283e-02	1.194336e+05	1.194317e+05
1.623081e-02	1.194336e+05	1.194317e+05
1.705899e-02	1.194336e+05	1.194317e+05
1.792943e-02	1.194336e+05	1.194317e+05
1.884429e-02	1.194336e+05	1.194317e+05
1.980583e-02	1.194336e+05	1.194317e+05
2.081643e-02	1.194336e+05	1.194317e+05
2.187859e-02	1.194336e+05	1.194317e+05
2.299496e-02	1.194336e+05	1.194317e+05
2.416828e-02	1.194336e+05	1.194317e+05
2.540148e-02	1.194336e+05	1.194317e+05
2.669760e-02	1.194336e+05	1.194317e+05
2.805986e-02	1.194336e+05	1.194317e+05
2.949162e-02	1.194336e+05	1.194317e+05
3.099645e-02	1.194336e+05	1.194317e+05
3.257805e-02	1.194336e+05	1.194317e+05
3.424036e-02	1.194336e+05	1.194317e+05
3.598749e-02	1.194336e+05	1.194317e+05
3.782377e-02	1.194336e+05	1.194317e+05
3.975374e-02	1.194336e+05	1.194317e+05
4.178219e-02	1.194336e+05	1.194317e+05
4.391414e-02	1.194336e+05	1.194317e+05
4.615488e-02	1.194336e+05	1.194317e+05
4.850995e-02	1.194336e+05	1.194317e+05
5.098519e-02	1.194336e+05	1.194317e+05
5.358673e-02	1.194336e+05	1.194317e+05
5.632102e-02	1.194336e+05	1.194317e+05
5.919482e-02	1.194336e+05	1.194317e+05
6.221526e-02	1.194336e+05	1.194317e+05
6.538982e-02	1.194336e+05	1.194317e+05
6.872636e-02	1.194336e+05	1.194317e+05
7.223315e-02	1.194336e+05	1.194317e+05
7.591888e-02	1.194336e+05	1.194317e+05
7.979267e-02	1.194336e+05	1.194317e+05
8.386413e-02	1.194336e+05	1.194317e+05
8.814333e-02	1.194336e+05	1.194317e+05
9.264088e-02	1.194336e+05	1.194317e+05
9.736792e-02	1.194336e+05	1.194317e+05
1.023362e-01	1.143228e+05	1.143208e+05
1.075579e-01	1.040398e+05	1.040379e+05
1.130461e-01	9.468185e+04	9.467987e+04
1.188143e-01	8.616559e+04	8.616361e+04
1.248769e-01	7.777591e+04	7.777392e+04
1.312487e-01	7.004492e+04	7.004293e+04
1.379458e-01	6.308214e+04	6.308016e+04
1.449845e-01	5.681151e+04	5.680953e+04
1.523824e-01	5.106036e+04	5.105838e+04
1.601578e-01	4.569050e+04	4.568852e+04
1.683299e-01	4.088539e+04	4.088341e+04
1.769190e-01	3.658433e+04	3.658234e+04
1.859464e-01	3.273153e+04	3.272955e+04
1.954344e-01	2.928451e+04	2.928252e+04
2.054065e-01	2.612415e+04	2.612216e+04
2.158874e-01	2.324604e+04	2.324406e+04
2.269032e-01	2.068504e+04	2.068306e+04
2.384810e-01	1.840621e+04	1.840423e+04
2.506496e-01	1.637419e+04	1.637221e+04
2.634391e-01	1.449777e+04	1.449579e+04
2.768812e-01	1.283641e+04	1.283443e+04
2.910091e-01	1.136545e+04	1.136348e+04
