# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	3.831716e+04	3.831130e+04
1.051025e-03	3.831716e+04	3.831130e+04
1.104654e-03	3.831716e+04	3.831130e+04
1.161020e-03	3.831716e+04	3.831130e+04
1.220261e-03	3.831716e+04	3.831130e+04
1.282526e-03	3.831716e+04	3.831130e+04
1.347967e-03	3.831716e+04	3.831130e+04
1.416748e-03	3.831716e+04	3.831130e+04
1.489038e-03	3.831716e+04	3.831130e+04
1.565017e-03	3.831716e+04	3.831130e+04
1.644872e-03	3.831716e+04	3.831130e+04
1.728802e-03	3.831716e+04	3.831130e+04
1.817015e-03	3.831716e+04	3.831130e+04
1.909729e-03	3.831716e+04	3.831130e+04
2.007174e-03	3.831716e+04	3.831130e+04
2.109591e-03	3.831716e+04	3.831130e+04
2.217234e-03	3.831716e+04	3.831130e+04
2.330369e-03	3.831716e+04	3.831130e+04
2.449277e-03	3.831716e+04	3.831130e+04
2.574252e-03	3.831716e+04	3.831130e+04
2.705605e-03	3.831716e+04	3.831130e+04
2.843659e-03	3.831716e+04	3.831130e+04
2.988758e-03	3.831716e+04	3.831130e+04
3.141261e-03	3.831716e+04	3.831130e+04
3.301545e-03	3.831716e+04	3.831130e+04
3.470007e-03	3.831716e+04	3.831130e+04
3.647066e-03	3.831716e+04	3.831130e+04
3.833159e-03	3.831716e+04	3.831130e+04
4.028748e-03	3.831716e+04	3.831130e+04
4.234316e-03	3.831716e+04	3.831130e+04
4.450374e-03	3.831716e+04	3.831130e+04
4.677456e-03	3.831716e+04	3.831130e+04
4.916125e-03	3.831716e+04	3.831130e+04
5.166972e-03	3.831716e+04	3.831130e+04
5.430619e-03	3.831716e+04	3.831130e+04
5.707719e-03	3.831716e+04	3.831130e+04
5.998957e-03	3.831716e+04	3.831130e+04
6.305057e-03	3.831716e+04	3.831130e+04
6.626775e-03	3.831716e+04	3.831130e+04
6.964909e-03	3.831716e+04	3.831130e+04
7.320296e-03	3.831716e+04	3.831130e+04
7.693817e-03	3.831716e+04	3.831130e+04
8.086397e-03	3.831716e+04	3.831130e+04
8.499009e-03	3.831716e+04	3.831130e+04
8.932674e-03	3.831716e+04	3.831130e+04
9.388468e-03	3.831716e+04	3.831130e+04
9.867518e-03	3.831716e+04	3.831130e+04
1.037101e-02	3.831716e+04	3.831130e+04
1.090020e-02	3.831716e+04	3.831130e+04
1.145638e-02	3.831716e+04	3.831130e+04
1.204095e-02	3.831716e+04	3.831130e+04
1.265535e-02	3.831716e+04	3.831130e+04
1.330109e-02	3.831716e+04	3.831130e+04
1.397978e-02	3.831716e+04	3.831130e+04
1.469311e-02	3.831716e+04	3.831130e+04
1.544283e-02	3.831716e+04	3.831130e+04
1.623081e-02	3.831716e+04	3.831130e+04
1.705899e-02	3.831716e+04	3.831130e+04
1.792943e-02	3.831716e+04	3.831130e+04
1.884429e-02	3.831716e+04	3.831130e+04
1.980583e-02	3.831716e+04	3.831130e+04
2.081643e-02	3.831716e+04	3.831130e+04
2.187859e-02	3.831716e+04	3.831130e+04
2.299496e-02	3.831716e+04	3.831130e+04
2.416828e-02	3.831716e+04	3.831130e+04
2.540148e-02	3.831716e+04	3.831130e+04
2.669760e-02	3.831716e+04	3.831130e+04
2.805986e-02	3.831716e+04	3.831130e+04
2.949162e-02	3.831716e+04	3.831130e+04
3.099645e-02	3.831716e+04	3.831130e+04
3.257805e-02	3.831716e+04	3.831130e+04
3.424036e-02	3.831716e+04	3.831130e+04
3.598749e-02	3.831716e+04	3.831130e+04
3.782377e-02	3.831716e+04	3.831130e+04
3.975374e-02	3.831716e+04	3.831130e+04
4.178219e-02	3.831716e+04	3.831130e+04
4.391414e-02	3.831716e+04	3.831130e+04
4.615488e-02	3.831716e+04	3.831130e+04
4.850995e-02	3.831716e+04	3.831130e+04
5.098519e-02	3.831716e+04	3.831130e+04
5.358673e-02	3.831716e+04	3.831130e+04
5.632102e-02	3.831716e+04	3.831130e+04
5.919482e-02	3.831716e+04	3.831130e+04
6.221526e-02	3.831716e+04	3.831130e+04
6.538982e-02	3.831716e+04	3.831130e+04
6.872636e-02	3.831716e+04	3.831130e+04
7.223315e-02	3.831716e+04	3.831130e+04
7.591888e-02	3.831716e+04	3.831130e+04
7.979267e-02	3.831716e+04	3.831130e+04
8.386413e-02	3.831716e+04	3.831130e+04
8.814333e-02	3.831716e+04	3.831130e+04
9.264088e-02	3.831716e+04	3.831130e+04
9.736792e-02	3.831716e+04	3.831130e+04
1.023362e-01	3.867447e+04	3.866860e+04
1.075579e-01	3.945584e+04	3.944998e+04
1.130461e-01	4.025301e+04	4.024714e+04
1.188143e-01	4.106628e+04	4.106041e+04
1.248769e-01	4.189599e+04	4.189012e+04
1.312487e-01	4.274252e+04	4.273665e+04
1.379458e-01	4.360616e+04	4.360029e+04
1.449845e-01	4.448725e+04	4.448139e+04
1.523824e-01	4.468403e+04	4.467816e+04
1.601578e-01	4.339598e+04	4.339012e+04
1.683299e-01	4.455600e+04	4.455014e+04
1.769190e-01	4.323907e+04	4.323321e+04
1.859464e-01	4.185349e+04	4.184763e+04
1.954344e-01	4.051232e+04	4.050646e+04
2.054065e-01	3.870333e+04	3.869748e+04
2.158874e-01	3.655770e+04	3.655185e+04
2.269032e-01	3.453104e+04	3.452519e+04
2.384810e-01	3.406421e+04	3.405836e+04
2.506496e-01	3.215782e+04	3.215197e+04
2.634391e-01	3.003039e+04	3.002454e+04
2.768812e-01	2.804373e+04	2.803788e+04
2.910091e-01	2.618852e+04	2.618267e+04
3.058580e-01	2.428502e+04	2.427918e+04
3.214645e-01	2.227264e+04	2.226681e+04
3.378674e-01	2.042706e+04	2.042123e+04
3.551072e-01	1.873397e+04	1.872814e+04
3.732267e-01	1.718016e+04	1.717434e+04
3.922708e-01	1.575526e+04	1.574944e+04
4.122865e-01	1.436386e+04	1.435805e+04
4.333236e-01	1.304582e+04	1.304002e+04
4.554341e-01	1.184860e+04	1.184280e+04
4.786728e-01	1.076080e+04	1.075501e+04
5.030973e-01	9.764441e+03	9.758655e+03
