# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	1.173896e+04	1.172466e+04
1.051025e-03	1.173896e+04	1.172466e+04
1.104654e-03	1.173896e+04	1.172466e+04
1.161020e-03	1.173896e+04	1.172466e+04
1.220261e-03	1.173896e+04	1.172466e+04
1.282526e-03	1.173896e+04	1.172466e+04
1.347967e-03	1.173896e+04	1.172466e+04
1.416748e-03	1.173896e+04	1.172466e+04
1.489038e-03	1.173896e+04	1.172466e+04
1.565017e-03	1.173896e+04	1.172466e+04
1.644872e-03	1.173896e+04	1.172466e+04
1.728802e-03	1.173896e+04	1.172466e+04
1.817015e-03	1.173896e+04	1.172466e+04
1.909729e-03	1.173896e+04	1.172466e+04
2.007174e-03	1.173896e+04	1.172466e+04
2.109591e-03	1.173896e+04	1.172466e+04
2.217234e-03	1.173896e+04	1.172466e+04
2.330369e-03	1.173896e+04	1.172466e+04
2.449277e-03	1.173896e+04	1.172466e+04
2.574252e-03	1.173896e+04	1.172466e+04
2.705605e-03	1.173896e+04	1.172466e+04
2.843659e-03	1.173896e+04	1.172466e+04
2.988758e-03	1.173896e+04	1.172466e+04
3.141261e-03	1.173896e+04	1.172466e+04
3.301545e-03	1.173896e+04	1.172466e+04
3.470007e-03	1.173896e+04	1.172466e+04
3.647066e-03	1.173896e+04	1.172466e+04
3.833159e-03	1.173896e+04	1.172466e+04
4.028748e-03	1.173896e+04	1.172466e+04
4.234316e-03	1.173896e+04	1.172466e+04
4.450374e-03	1.173896e+04	1.172466e+04
4.677456e-03	1.173896e+04	1.172466e+04
4.916125e-03	1.173896e+04	1.172466e+04
5.166972e-03	1.173896e+04	1.172466e+04
5.430619e-03	1.173896e+04	1.172466e+04
5.707719e-03	1.173896e+04	1.172466e+04
5.998957e-03	1.173896e+04	1.172466e+04
6.305057e-03	1.173896e+04	1.172466e+04
6.626775e-03	1.173896e+04	1.172466e+04
6.964909e-03	1.173896e+04	1.172466e+04
7.320296e-03	1.173896e+04	1.172466e+04
7.693817e-03	1.173896e+04	1.172466e+04
8.086397e-03	1.173896e+04	1.172466e+04
8.499009e-03	1.173896e+04	1.172466e+04
8.932674e-03	1.173896e+04	1.172466e+04
9.388468e-03	1.173896e+04	1.172466e+04
9.867518e-03	1.173896e+04	1.172466e+04
1.037101e-02	1.173896e+04	1.172466e+04
1.090020e-02	1.173896e+04	1.172466e+04
1.145638e-02	1.173896e+04	1.172466e+04
1.204095e-02	1.173896e+04	1.172466e+04
1.265535e-02	1.173896e+04	1.172466e+04
1.330109e-02	1.173896e+04	1.172466e+04
1.397978e-02	1.173896e+04	1.172466e+04
1.469311e-02	1.173896e+04	1.172466e+04
1.544283e-02	1.173896e+04	1.172466e+04
1.623081e-02	1.173896e+04	1.172466e+04
1.705899e-02	1.173896e+04	1.172466e+04
1.792943e-02	1.173896e+04	1.172466e+04
1.884429e-02	1.173896e+04	1.172466e+04
1.980583e-02	1.173896e+04	1.172466e+04
2.081643e-02	1.173896e+04	1.172466e+04
2.187859e-02	1.173896e+04	1.172466e+04
2.299496e-02	1.173896e+04	1.172466e+04
2.416828e-02	1.173896e+04	1.172466e+04
2.540148e-02	1.173896e+04	1.172466e+04
2.669760e-02	1.173896e+04	1.172466e+04
2.805986e-02	1.173896e+04	1.172466e+04
2.949162e-02	1.173896e+04	1.172466e+04
3.099645e-02	1.173896e+04	1.172466e+04
3.257805e-02	1.173896e+04	1.172466e+04
3.424036e-02	1.173896e+04	1.172466e+04
3.598749e-02	1.173896e+04	1.172466e+04
3.782377e-02	1.173896e+04	1.172466e+04
3.975374e-02	1.173896e+04	1.172466e+04
4.178219e-02	1.173896e+04	1.172466e+04
4.391414e-02	1.173896e+04	1.172466e+04
4.615488e-02	1.173896e+04	1.172466e+04
4.850995e-02	1.173896e+04	1.172466e+04
5.098519e-02	1.173896e+04	1.172466e+04
5.358673e-02	1.173896e+04	1.172466e+04
5.632102e-02	1.173896e+04	1.172466e+04
5.919482e-02	1.173896e+04	1.172466e+04
6.221526e-02	1.173896e+04	1.172466e+04
6.538982e-02	1.173896e+04	1.172466e+04
6.872636e-02	1.173896e+04	1.172466e+04
7.223315e-02	1.173896e+04	1.172466e+04
7.591888e-02	1.173896e+04	1.172466e+04
7.979267e-02	1.173896e+04	1.172466e+04
8.386413e-02	1.173896e+04	1.172466e+04
8.814333e-02	1.173896e+04	1.172466e+04
9.264088e-02	1.173896e+04	1.172466e+04
9.736792e-02	1.173896e+04	1.172466e+04
1.023362e-01	1.104493e+04	1.103063e+04
1.075579e-01	9.685468e+03	9.671171e+03
1.130461e-01	8.493524e+03	8.479229e+03
1.188143e-01	7.448484e+03	7.434190e+03
1.248769e-01	6.532241e+03	6.517949e+03
1.312487e-01	5.728738e+03	5.714448e+03
1.379458e-01	5.024284e+03	5.009995e+03
1.449845e-01	4.406672e+03	4.392384e+03
1.523824e-01	3.811269e+03	3.796984e+03
1.601578e-01	3.198137e+03	3.183855e+03
1.683299e-01	2.684012e+03	2.669733e+03
1.769190e-01	2.252942e+03	2.238666e+03
1.859464e-01	1.891581e+03	1.877307e+03
1.954344e-01	2.478258e+03	2.463986e+03
2.054065e-01	2.229587e+03	2.215319e+03
2.158874e-01	2.129883e+03	2.115620e+03
2.269032e-01	2.034665e+03	2.020408e+03
2.384810e-01	1.943733e+03	1.929481e+03
2.506496e-01	1.858811e+03	1.844566e+03
2.634391e-01	2.116783e+03	2.102543e+03
2.768812e-01	2.062606e+03	2.048372e+03
2.910091e-01	2.009825e+03	1.995596e+03
3.058580e-01	1.959824e+03	1.945602e+03
3.214645e-01	2.455852e+03	2.441641e+03
3.378674e-01	2.397419e+03	2.383219e+03
3.551072e-01	2.341070e+03	2.326879e+03
3.732267e-01	2.287683e+03	2.273503e+03
3.922708e-01	2.454200e+03	2.440030e+03
4.122865e-01	2.924468e+03	2.910312e+03
4.333236e-01	3.961702e+03	3.947562e+03
4.554341e-01	5.368836e+03	5.354713e+03
4.786728e-01	7.278497e+03	7.264390e+03
5.030973e-01	9.539232e+03	9.525143e+03
5.287681e-01	9.833934e+03	9.819868e+03
5.557487e-01	1.001504e+04	1.000100e+04
5.841060e-01	9.739790e+03	9.725772e+03
6.139102e-01	9.361482e+03	9.347491e+03
6.452353e-01	8.874912e+03	8.860956e+03
6.781586e-01	8.414870e+03	8.400950e+03
7.127620e-01	8.093709e+03	8.079824e+03
7.491309e-01	8.088755e+03	8.074904e+03
7.873557e-01	8.216387e+03	8.202572e+03
8.275308e-01	7.783098e+03	7.769330e+03
8.697559e-01	7.234097e+03	7.220381e+03
9.141356e-01	6.841618e+03	6.827953e+03
9.607797e-01	6.721446e+03	6.707833e+03
1.009804e+00	6.512410e+03	6.498851e+03
1.061330e+00	6.316610e+03	6.303119e+03
1.115484e+00	5.769581e+03	5.756157e+03
1.172402e+00	5.265334e+03	5.251980e+03
1.232225e+00	4.796727e+03	4.783446e+03
1.295099e+00	4.426496e+03	4.413290e+03
1.361182e+00	4.020366e+03	4.007240e+03
1.430637e+00	3.639806e+03	3.626765e+03
1.503636e+00	3.363168e+03	3.350218e+03
1.580360e+00	3.034084e+03	3.021231e+03
1.660998e+00	2.737300e+03	2.724551e+03
1.745751e+00	2.469643e+03	2.457004e+03
1.834829e+00	2.228252e+03	2.215730e+03
1.928452e+00	2.010548e+03	1.998149e+03
2.026852e+00	1.811166e+03	1.798896e+03
2.130273e+00	1.624204e+03	1.612069e+03
2.238971e+00	1.456639e+03	1.444645e+03
2.353216e+00	1.306456e+03	1.294610e+03
2.473289e+00	1.171849e+03	1.160156e+03
2.599490e+00	1.051198e+03	1.039666e+03
2.732130e+00	9.430554e+02	9.316903e+02
2.871538e+00	8.461196e+02	8.349283e+02
3.018059e+00	7.588552e+02	7.478442e+02
3.172057e+00	6.782455e+02	6.674215e+02
3.333913e+00	6.062781e+02	5.956473e+02
3.504027e+00	5.420233e+02	5.315918e+02
3.682821e+00	1.148615e+03	1.138389e+03
3.870739e+00	1.441172e+03	1.431156e+03
4.068245e+00	1.274481e+03	1.264680e+03
4.275829e+00	1.127680e+03	1.118100e+03
4.494005e+00	1.159074e+03	1.149717e+03
4.723313e+00	1.024105e+03	1.014976e+03
4.964322e+00	9.049237e+02	8.960254e+02
5.217629e+00	8.466261e+02	8.379612e+02
5.483860e+00	7.492105e+02	7.407813e+02
5.763676e+00	6.922246e+02	6.840328e+02
6.057770e+00	6.136876e+02	6.057349e+02
6.366871e+00	5.431678e+02	5.354553e+02
6.691743e+00	4.808013e+02	4.733298e+02
7.033192e+00	4.256422e+02	4.184123e+02
7.392063e+00	3.768548e+02	3.698666e+02
7.769246e+00	3.336999e+02	3.269533e+02
8.165675e+00	2.953149e+02	2.888093e+02
8.582332e+00	2.611168e+02	2.548512e+02
9.020249e+00	2.309130e+02	2.248858e+02
9.480511e+00	2.042349e+02	1.984438e+02
9.964258e+00	1.806686e+02	1.751108e+02
1.047269e+01	1.595208e+02	1.541929e+02
1.100706e+01	1.408529e+02	1.357514e+02
1.156870e+01	1.243945e+02	1.195155e+02
1.215900e+01	1.098822e+02	1.052214e+02
1.277942e+01	9.708378e+01	9.263693e+01
1.343149e+01	8.579516e+01	8.155754e+01
1.411684e+01	7.583651e+01	7.180324e+01
1.483716e+01	6.704956e+01	6.321556e+01
1.559423e+01	5.922434e+01	5.558435e+01
1.638993e+01	5.230837e+01	4.885692e+01
1.722623e+01	1.059525e+02	1.026840e+02
1.810521e+01	9.272774e+01	8.963623e+01
1.902904e+01	8.116685e+01	7.824642e+01
2.000000e+01	7.105929e+01	6.830389e+01
