# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	9.335794e+03	9.323843e+03
1.051025e-03	9.335794e+03	9.323843e+03
1.104654e-03	9.335794e+03	9.323843e+03
1.161020e-03	9.335794e+03	9.323843e+03
1.220261e-03	9.335794e+03	9.323843e+03
1.282526e-03	9.335794e+03	9.323843e+03
1.347967e-03	9.335794e+03	9.323843e+03
1.416748e-03	9.335794e+03	9.323843e+03
1.489038e-03	9.335794e+03	9.323843e+03
1.565017e-03	9.335794e+03	9.323843e+03
1.644872e-03	9.335794e+03	9.323843e+03
1.728802e-03	9.335794e+03	9.323843e+03
1.817015e-03	9.335794e+03	9.323843e+03
1.909729e-03	9.335794e+03	9.323843e+03
2.007174e-03	9.335794e+03	9.323843e+03
2.109591e-03	9.335794e+03	9.323843e+03
2.217234e-03	9.335794e+03	9.323843e+03
2.330369e-03	9.335794e+03	9.323843e+03
2.449277e-03	9.335794e+03	9.323843e+03
2.574252e-03	9.335794e+03	9.323843e+03
2.705605e-03	9.335794e+03	9.323843e+03
2.843659e-03	9.335794e+03	9.323843e+03
2.988758e-03	9.335794e+03	9.323843e+03
3.141261e-03	9.335794e+03	9.323843e+03
3.301545e-03	9.335794e+03	9.323843e+03
3.470007e-03	9.335794e+03	9.323843e+03
3.647066e-03	9.335794e+03	9.323843e+03
3.833159e-03	9.335794e+03	9.323843e+03
4.028748e-03	9.335794e+03	9.323843e+03
4.234316e-03	9.335794e+03	9.323843e+03
4.450374e-03	9.335794e+03	9.323843e+03
4.677456e-03	9.335794e+03	9.323843e+03
4.916125e-03	9.335794e+03	9.323843e+03
5.166972e-03	9.335794e+03	9.323843e+03
5.430619e-03	9.335794e+03	9.323843e+03
5.707719e-03	9.335794e+03	9.323843e+03
5.998957e-03	9.335794e+03	9.323843e+03
6.305057e-03	9.335794e+03	9.323843e+03
6.626775e-03	9.335794e+03	9.323843e+03
6.964909e-03	9.335794e+03	9.323843e+03
7.320296e-03	9.335794e+03	9.323843e+03
7.693817e-03	9.335794e+03	9.323843e+03
8.086397e-03	9.335794e+03	9.323843e+03
8.499009e-03	9.335794e+03	9.323843e+03
8.932674e-03	9.335794e+03	9.323843e+03
9.388468e-03	9.335794e+03	9.323843e+03
9.867518e-03	9.335794e+03	9.323843e+03
1.037101e-02	9.335794e+03	9.323843e+03
1.090020e-02	9.335794e+03	9.323843e+03
1.145638e-02	9.335794e+03	9.323843e+03
1.204095e-02	9.335794e+03	9.323843e+03
1.265535e-02	9.335794e+03	9.323843e+03
1.330109e-02	9.335794e+03	9.323843e+03
1.397978e-02	9.335794e+03	9.323843e+03
1.469311e-02	9.335794e+03	9.323843e+03
1.544283e-02	9.335794e+03	9.323843e+03
1.623081e-02	9.335794e+03	9.323843e+03
1.705899e-02	9.335794e+03	9.323843e+03
1.792943e-02	9.335794e+03	9.323843e+03
1.884429e-02	9.335794e+03	9.323843e+03
1.980583e-02	9.335794e+03	9.323843e+03
2.081643e-02	9.335794e+03	9.323843e+03
2.187859e-02	9.335794e+03	9.323843e+03
2.299496e-02	9.335794e+03	9.323843e+03
2.416828e-02	9.335794e+03	9.323843e+03
2.540148e-02	9.335794e+03	9.323843e+03
2.669760e-02	9.335794e+03	9.323843e+03
2.805986e-02	9.335794e+03	9.323843e+03
2.949162e-02	9.335794e+03	9.323843e+03
3.099645e-02	9.335794e+03	9.323843e+03
3.257805e-02	9.335794e+03	9.323843e+03
3.424036e-02	9.335794e+03	9.323843e+03
3.598749e-02	9.335794e+03	9.323843e+03
3.782377e-02	9.335794e+03	9.323843e+03
3.975374e-02	9.335794e+03	9.323843e+03
4.178219e-02	9.335794e+03	9.323843e+03
4.391414e-02	9.335794e+03	9.323843e+03
4.615488e-02	9.335794e+03	9.323843e+03
4.850995e-02	9.335794e+03	9.323843e+03
5.098519e-02	9.335794e+03	9.323843e+03
5.358673e-02	9.335794e+03	9.323843e+03
5.632102e-02	9.335794e+03	9.323843e+03
5.919482e-02	9.335794e+03	9.323843e+03
6.221526e-02	9.335794e+03	9.323843e+03
6.538982e-02	9.335794e+03	9.323843e+03
6.872636e-02	9.335794e+03	9.323843e+03
7.223315e-02	9.335794e+03	9.323843e+03
7.591888e-02	9.335794e+03	9.323843e+03
7.979267e-02	9.335794e+03	9.323843e+03
8.386413e-02	9.335794e+03	9.323843e+03
8.814333e-02	9.335794e+03	9.323843e+03
9.264088e-02	9.335794e+03	9.323843e+03
9.736792e-02	9.335794e+03	9.323843e+03
1.023362e-01	9.572532e+03	9.560582e+03
1.075579e-01	1.010335e+04	1.009140e+04
1.130461e-01	1.066364e+04	1.065169e+04
1.188143e-01	1.125504e+04	1.124309e+04
1.248769e-01	1.187927e+04	1.186732e+04
1.312487e-01	1.253877e+04	1.252682e+04
1.379458e-01	1.323493e+04	1.322298e+04
1.449845e-01	1.396977e+04	1.395783e+04
1.523824e-01	1.456685e+04	1.455491e+04
1.601578e-01	1.479502e+04	1.478308e+04
1.683299e-01	1.502676e+04	1.501482e+04
1.769190e-01	1.526208e+04	1.525014e+04
1.859464e-01	1.550088e+04	1.548894e+04
1.954344e-01	1.574342e+04	1.573148e+04
2.054065e-01	1.573520e+04	1.572327e+04
2.158874e-01	1.550996e+04	1.549803e+04
2.269032e-01	1.528793e+04	1.527601e+04
2.384810e-01	1.506909e+04	1.505717e+04
2.506496e-01	1.541772e+04	1.540580e+04
2.634391e-01	1.527090e+04	1.525898e+04
2.768812e-01	1.468511e+04	1.467320e+04
2.910091e-01	1.412181e+04	1.410990e+04
3.058580e-01	1.355501e+04	1.354310e+04
3.214645e-01	1.297311e+04	1.296121e+04
3.378674e-01	1.241621e+04	1.240432e+04
3.551072e-01	1.188302e+04	1.187114e+04
3.732267e-01	1.137226e+04	1.136038e+04
3.922708e-01	1.088347e+04	1.087160e+04
4.122865e-01	1.035534e+04	1.034347e+04
4.333236e-01	1.057951e+04	1.056765e+04
4.554341e-01	1.003711e+04	1.002527e+04
4.786728e-01	9.548240e+03	9.536410e+03
5.030973e-01	9.152268e+03	9.140450e+03
5.287681e-01	8.542451e+03	8.530650e+03
5.557487e-01	7.969688e+03	7.957903e+03
5.841060e-01	7.422575e+03	7.410805e+03
6.139102e-01	7.309459e+03	7.297710e+03
6.452353e-01	6.753158e+03	6.741435e+03
6.781586e-01	6.238165e+03	6.226466e+03
7.127620e-01	5.751229e+03	5.739554e+03
7.491309e-01	5.284459e+03	5.272808e+03
7.873557e-01	4.855645e+03	4.844019e+03
8.275308e-01	4.441940e+03	4.430348e+03
8.697559e-01	4.055081e+03	4.043527e+03
9.141356e-01	3.790272e+03	3.778756e+03
9.607797e-01	3.730637e+03	3.719158e+03
1.009804e+00	3.612470e+03	3.601031e+03
1.061330e+00	3.271395e+03	3.260007e+03
1.115484e+00	2.962615e+03	2.951279e+03
1.172402e+00	2.683071e+03	2.671787e+03
1.232225e+00	2.429993e+03	2.418764e+03
1.295099e+00	2.200873e+03	2.189703e+03
1.361182e+00	1.993442e+03	1.982335e+03
1.430637e+00	1.805644e+03	1.794604e+03
1.503636e+00	1.635140e+03	1.624173e+03
1.580360e+00	1.472367e+03	1.461478e+03
1.660998e+00	1.325885e+03	1.315081e+03
1.745751e+00	1.194062e+03	1.183348e+03
1.834829e+00	1.817676e+03	1.807057e+03
1.928452e+00	3.459267e+03	3.448750e+03
2.026852e+00	3.793479e+03	3.783068e+03
