# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	1.723980e+04	1.723089e+04
1.051025e-03	1.723980e+04	1.723089e+04
1.104654e-03	1.723980e+04	1.723089e+04
1.161020e-03	1.723980e+04	1.723089e+04
1.220261e-03	1.723980e+04	1.723089e+04
1.282526e-03	1.723980e+04	1.723089e+04
1.347967e-03	1.723980e+04	1.723089e+04
1.416748e-03	1.723980e+04	1.723089e+04
1.489038e-03	1.723980e+04	1.723089e+04
1.565017e-03	1.723980e+04	1.723089e+04
1.644872e-03	1.723980e+04	1.723089e+04
1.728802e-03	1.723980e+04	1.723089e+04
1.817015e-03	1.723980e+04	1.723089e+04
1.909729e-03	1.723980e+04	1.723089e+04
2.007174e-03	1.723980e+04	1.723089e+04
2.109591e-03	1.723980e+04	1.723089e+04
2.217234e-03	1.723980e+04	1.723089e+04
2.330369e-03	1.723980e+04	1.723089e+04
2.449277e-03	1.723980e+04	1.723089e+04
2.574252e-03	1.723980e+04	1.723089e+04
2.705605e-03	1.723980e+04	1.723089e+04
2.843659e-03	1.723980e+04	1.723089e+04
2.988758e-03	1.723980e+04	1.723089e+04
3.141261e-03	1.723980e+04	1.723089e+04
3.301545e-03	1.723980e+04	1.723089e+04
3.470007e-03	1.723980e+04	1.723089e+04
3.647066e-03	1.723980e+04	1.723089e+04
3.833159e-03	1.723980e+04	1.723089e+04
4.028748e-03	1.723980e+04	1.723089e+04
4.234316e-03	1.723980e+04	1.723089e+04
4.450374e-03	1.723980e+04	1.723089e+04
4.677456e-03	1.723980e+04	1.723089e+04
4.916125e-03	1.723980e+04	1.723089e+04
5.166972e-03	1.723980e+04	1.723089e+04
5.430619e-03	1.723980e+04	1.723089e+04
5.707719e-03	1.723980e+04	1.723089e+04
5.998957e-03	1.723980e+04	1.723089e+04
6.305057e-03	1.723980e+04	1.723089e+04
6.626775e-03	1.723980e+04	1.723089e+04
6.964909e-03	1.723980e+04	1.723089e+04
7.320296e-03	1.723980e+04	1.723089e+04
7.693817e-03	1.723980e+04	1.723089e+04
8.086397e-03	1.723980e+04	1.723089e+04
8.499009e-03	1.723980e+04	1.723089e+04
8.932674e-03	1.723980e+04	1.723089e+04
9.388468e-03	1.723980e+04	1.723089e+04
9.867518e-03	1.723980e+04	1.723089e+04
1.037101e-02	1.723980e+04	1.723089e+04
1.090020e-02	1.723980e+04	1.723089e+04
1.145638e-02	1.723980e+04	1.723089e+04
1.204095e-02	1.723980e+04	1.723089e+04
1.265535e-02	1.723980e+04	1.723089e+04
1.330109e-02	1.723980e+04	1.723089e+04
1.397978e-02	1.723980e+04	1.723089e+04
1.469311e-02	1.723980e+04	1.723089e+04
1.544283e-02	1.723980e+04	1.723089e+04
1.623081e-02	1.723980e+04	1.723089e+04
1.705899e-02	1.723980e+04	1.723089e+04
1.792943e-02	1.723980e+04	1.723089e+04
1.884429e-02	1.723980e+04	1.723089e+04
1.980583e-02	1.723980e+04	1.723089e+04
2.081643e-02	1.723980e+04	1.723089e+04
2.187859e-02	1.723980e+04	1.723089e+04
2.299496e-02	1.723980e+04	1.723089e+04
2.416828e-02	1.723980e+04	1.723089e+04
2.540148e-02	1.723980e+04	1.723089e+04
2.669760e-02	1.723980e+04	1.723089e+04
2.805986e-02	1.723980e+04	1.723089e+04
2.949162e-02	1.723980e+04	1.723089e+04
3.099645e-02	1.723980e+04	1.723089e+04
3.257805e-02	1.723980e+04	1.723089e+04
3.424036e-02	1.723980e+04	1.723089e+04
3.598749e-02	1.723980e+04	1.723089e+04
3.782377e-02	1.723980e+04	1.723089e+04
3.975374e-02	1.723980e+04	1.723089e+04
4.178219e-02	1.723980e+04	1.723089e+04
4.391414e-02	1.723980e+04	1.723089e+04
4.615488e-02	1.723980e+04	1.723089e+04
4.850995e-02	1.723980e+04	1.723089e+04
5.098519e-02	1.723980e+04	1.723089e+04
5.358673e-02	1.723980e+04	1.723089e+04
5.632102e-02	1.723980e+04	1.723089e+04
5.919482e-02	1.723980e+04	1.723089e+04
6.221526e-02	1.723980e+04	1.723089e+04
6.538982e-02	1.723980e+04	1.723089e+04
6.872636e-02	1.723980e+04	1.723089e+04
7.223315e-02	1.723980e+04	1.723089e+04
7.591888e-02	1.723980e+04	1.723089e+04
7.979267e-02	1.723980e+04	1.723089e+04
8.386413e-02	1.723980e+04	1.723089e+04
8.814333e-02	1.723980e+04	1.723089e+04
9.264088e-02	1.723980e+04	1.723089e+04
9.736792e-02	1.723980e+04	1.723089e+04
1.023362e-01	1.533767e+04	1.532876e+04
1.075579e-01	1.192211e+04	1.191321e+04
1.130461e-01	9.267614e+03	9.258708e+03
1.188143e-01	7.204589e+03	7.195684e+03
1.248769e-01	5.601247e+03	5.592343e+03
1.312487e-01	4.539938e+03	4.531034e+03
1.379458e-01	3.683121e+03	3.674217e+03
1.449845e-01	2.988328e+03	2.979424e+03
1.523824e-01	4.820522e+03	4.811619e+03
1.601578e-01	4.955519e+03	4.946618e+03
1.683299e-01	5.094304e+03	5.085404e+03
1.769190e-01	5.282809e+03	5.273910e+03
1.859464e-01	5.490648e+03	5.481751e+03
1.954344e-01	5.706678e+03	5.697782e+03
2.054065e-01	5.822890e+03	5.813997e+03
2.158874e-01	6.735837e+03	6.726946e+03
2.269032e-01	6.764129e+03	6.755242e+03
2.384810e-01	6.792540e+03	6.783656e+03
2.506496e-01	6.819273e+03	6.810392e+03
2.634391e-01	6.813398e+03	6.804521e+03
2.768812e-01	6.807527e+03	6.798654e+03
2.910091e-01	6.801662e+03	6.792792e+03
3.058580e-01	6.695825e+03	6.686960e+03
3.214645e-01	6.439740e+03	6.430880e+03
3.378674e-01	6.193461e+03	6.184608e+03
3.551072e-01	5.956234e+03	5.947386e+03
3.732267e-01	5.727216e+03	5.718373e+03
3.922708e-01	5.507017e+03	5.498179e+03
4.122865e-01	5.228834e+03	5.220004e+03
4.333236e-01	4.924465e+03	4.915645e+03
4.554341e-01	4.638140e+03	4.629329e+03
4.786728e-01	4.369373e+03	4.360574e+03
5.030973e-01	4.110236e+03	4.101448e+03
5.287681e-01	3.827057e+03	3.818280e+03
5.557487e-01	3.563439e+03	3.554674e+03
5.841060e-01	3.318059e+03	3.309310e+03
6.139102e-01	3.078906e+03	3.070176e+03
6.452353e-01	2.845438e+03	2.836731e+03
6.781586e-01	9.061108e+03	9.052423e+03
7.127620e-01	1.933265e+04	1.932399e+04
7.491309e-01	1.352697e+04	1.351832e+04
7.873557e-01	1.183020e+04	1.182158e+04
8.275308e-01	1.055757e+04	1.054898e+04
8.697559e-01	9.488261e+03	9.479702e+03
9.141356e-01	8.555101e+03	8.546576e+03
9.607797e-01	9.620057e+03	9.611567e+03
1.009804e+00	9.311127e+03	9.302674e+03
1.061330e+00	8.324997e+03	8.316591e+03
1.115484e+00	7.487646e+03	7.479289e+03
1.172402e+00	7.020443e+03	7.012136e+03
1.232225e+00	6.292922e+03	6.284667e+03
1.295099e+00	5.640868e+03	5.632669e+03
1.361182e+00	5.056451e+03	5.048313e+03
1.430637e+00	4.532654e+03	4.524579e+03
1.503636e+00	4.061829e+03	4.053824e+03
1.580360e+00	3.616305e+03	3.608377e+03
1.660998e+00	3.219724e+03	3.211876e+03
1.745751e+00	2.866705e+03	2.858945e+03
1.834829e+00	2.552462e+03	2.544795e+03
1.928452e+00	2.272733e+03	2.265164e+03
2.026852e+00	2.020846e+03	2.013380e+03
2.130273e+00	1.789970e+03	1.782611e+03
2.238971e+00	1.585539e+03	1.578293e+03
2.353216e+00	1.404522e+03	1.397393e+03
2.473289e+00	1.244235e+03	1.237227e+03
2.599490e+00	1.102302e+03	1.095419e+03
2.732130e+00	9.766187e+02	9.698643e+02
2.871538e+00	8.653226e+02	8.587007e+02
3.018059e+00	7.663990e+02	7.599131e+02
3.172057e+00	6.764828e+02	6.701359e+02
3.333913e+00	5.971700e+02	5.909651e+02
3.504027e+00	5.272081e+02	5.211477e+02
3.682821e+00	4.654923e+02	4.595786e+02
